GRD_NEWIDS,POB
1kmN2051E3171,305
1kmN2051E3172,405
1kmN2051E3173,825
1kmN2051E3174,665
1kmN2051E3175,0
1kmN2051E3176,0
1kmN2051E3177,0
1kmN2051E3179,405
1kmN2051E3180,165
1kmN2052E3135,510
1kmN2052E3136,3100
1kmN2052E3137,7145
1kmN2052E3138,815
1kmN2052E3139,55
1kmN2052E3140,560
1kmN2052E3141,445
1kmN2052E3142,70
1kmN2052E3173,250
1kmN2052E3174,460
1kmN2052E3176,15
1kmN2052E3180,5
1kmN2052E3181,40
1kmN2053E3136,125
1kmN2053E3137,55
1kmN2053E3138,760
1kmN2053E3139,1700
1kmN2053E3140,1030
1kmN2053E3141,580
1kmN2053E3142,355
1kmN2053E3143,445
1kmN2053E3145,30
1kmN2053E3146,585
1kmN2053E3170,220
1kmN2053E3171,95
1kmN2053E3172,125
1kmN2053E3178,10
1kmN2053E3179,0
1kmN2053E3180,0
1kmN2053E3181,10
1kmN2054E3126,2650
1kmN2054E3127,2955
1kmN2054E3133,95
1kmN2054E3134,605
1kmN2054E3137,55
1kmN2054E3138,200
1kmN2054E3139,1140
1kmN2054E3140,110
1kmN2054E3142,750
1kmN2054E3143,1115
1kmN2054E3144,15
1kmN2054E3145,285
1kmN2054E3146,185
1kmN2054E3148,145
1kmN2054E3170,60
1kmN2054E3171,55
1kmN2055E3124,370
